version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_ci_lo,delta_ci_hi,delta_p
raw,MCI_to_AD,4,contrastive_euclidean_s,83,31,0.5514888337468983,0.42275783699059566,0.6773830007711585,-0.07971433642764623,-0.19168826473859846,0.036023437152638525,0.18
raw,MCI_to_AD,4,contrastive_euclidean_finetune,83,31,0.5049627791563275,0.3720214598997494,0.6402788877788875,-0.12505153706587815,-0.2610421433405304,0.012583435745439577,0.0776
raw,MCI_to_AD,4,contrastive_rank_kendall_basic_probe,83,31,0.5465260545905707,0.4194933049300061,0.6758644703448754,-0.08405323115231214,-0.18550749625187413,0.01861749597318338,0.1068
raw,MCI_to_AD,4,contrastive_rank_kendall_basic_s,83,31,0.4218362282878412,0.29787234042553196,0.5478831168831167,-0.20935528404586703,-0.3333333333333333,-0.0886111111111113,0.0016
raw,MCI_to_AD,4,contrastive_rank_kendall_basic_finetune,83,31,0.5359801488833746,0.4078768536428111,0.663126547900484,-0.09438657281983856,-0.2099608395989975,0.021383815962062347,0.1124
raw,MCI_to_AD,4,contrastive_hybrid_basic_probe,83,31,0.4540942928039702,0.3263073693649629,0.5846560846560847,-0.176679322830533,-0.3036735456894622,-0.052168485595259155,0.0096
raw,MCI_to_AD,4,contrastive_hybrid_basic_s,83,31,0.43424317617866004,0.3078787878787879,0.5635229453149984,-0.1966868389204455,-0.3270494756446356,-0.06249547101449282,0.0048
raw,MCI_to_AD,4,contrastive_hybrid_basic_finetune,83,31,0.489454094292804,0.3553538640032284,0.6235891178505301,-0.1408065050834331,-0.2843243687052985,0.007352941176470562,0.0592
raw,CN_to_MCI,2,ridge_dhat_finetune,102,7,0.5293233082706766,0.2962907268170426,0.7676767676767676,-0.09341270615378433,-0.245360824742268,0.045256706753006165,0.20092055233139883
raw,CN_to_MCI,2,ridge_dhat_all,102,7,0.6225563909774436,0.3715178571428572,0.8367417800453515,,,,
raw,CN_to_MCI,2,direct_logistic,102,7,0.37744360902255636,0.15338345864661657,0.6285239361702125,-0.24673477584671083,-0.5625,0.06466165413533832,0.11286772063237943
raw,CN_to_MCI,2,contrastive_euclidean_probe,102,7,0.5278195488721804,0.2983968850698174,0.7611615143369169,-0.09455788640813821,-0.36327269787371647,0.1505129471143296,0.44106463878326996
raw,CN_to_MCI,2,contrastive_euclidean_s,102,7,0.5548872180451128,0.3029356060606061,0.7752829791710496,-0.0667988387698026,-0.3775618758141555,0.2167553191489362,0.6567940764458675
raw,CN_to_MCI,2,contrastive_euclidean_finetune,102,7,0.22556390977443608,0.09764309764309764,0.37501493428912774,-0.39818159447304885,-0.6970081615120276,-0.06614681032478113,0.022013207924754852
raw,CN_to_MCI,2,contrastive_rank_kendall_basic_probe,102,7,0.4390977443609022,0.2741725447639718,0.6392204979162094,-0.1840670518046732,-0.4206185567010309,0.058866728509584645,0.12047228337002201
raw,CN_to_MCI,2,contrastive_rank_kendall_basic_s,102,7,0.5398496240601504,0.31884164777021917,0.7660978132387699,-0.0814011062704657,-0.4457181259600615,0.3248308270676691,0.6459875925555333
