version,task,method,horizons,n_total_rows_sum,n_converters_sum,auc_mean_y234,auc_weighted_by_n,auc_weighted_by_converters,delta_mean_vs_ridge_all
raw,ALL_CONVERSION,contrastive_hybrid_basic_finetune,2/3/4 x both tasks,554,110,0.5244099772639471,0.5258809471805362,0.5473362767531805,-0.10986748716370937
raw,ALL_CONVERSION,contrastive_euclidean_finetune,2/3/4 x both tasks,554,110,0.5220830595115417,0.5205528537153266,0.5572012350552845,-0.11219084062395841
raw,ALL_CONVERSION,contrastive_hybrid_basic_s,2/3/4 x both tasks,554,110,0.5149404808976371,0.5081999230043863,0.4923620255077301,-0.11927734596434557
raw,ALL_CONVERSION,contrastive_rank_kendall_basic_s,2/3/4 x both tasks,554,110,0.49268101758042954,0.4882476205752038,0.4709747597156438,-0.14118278736189024
raw,ALL_CONVERSION,contrastive_hybrid_basic_probe,2/3/4 x both tasks,554,110,0.47614540651607773,0.4853662785838126,0.4732544663645628,-0.15782064724702602
combat,CN_to_MCI,contrastive_hybrid_basic_s,2/3/4,251,35,0.5949264186106291,0.587637919499945,0.6082169709989259,0.018525277620667
combat,CN_to_MCI,contrastive_rank_kendall_basic_s,2/3/4,251,35,0.5827767149629498,0.5818308796815821,0.5845104519540609,0.006448473568483534
combat,CN_to_MCI,ridge_dhat_all,2/3/4,251,35,0.5766525534744159,0.5778142298744102,0.5744389820705611,
combat,CN_to_MCI,ridge_dhat_finetune,2/3/4,251,35,0.5598054554532287,0.5581815210720642,0.5627914566636372,-0.0170625666159658
combat,CN_to_MCI,contrastive_rank_kendall_basic_probe,2/3/4,251,35,0.5409771964427835,0.5405523462348794,0.541378170701479,-0.036138268970295234
combat,CN_to_MCI,contrastive_euclidean_s,2/3/4,251,35,0.5246249252322126,0.5374080696685016,0.501309592662976,-0.051458041932345495
combat,CN_to_MCI,contrastive_hybrid_basic_probe,2/3/4,251,35,0.5210873584355366,0.5283044993728575,0.5072746426505825,-0.054650415573177125
combat,CN_to_MCI,direct_logistic,2/3/4,251,35,0.5084126736960745,0.48794878323605523,0.5458832520862597,-0.06760950425097594
combat,CN_to_MCI,contrastive_euclidean_probe,2/3/4,251,35,0.489467134305191,0.48973393105810803,0.48846029909939687,-0.08656424927214444
combat,CN_to_MCI,contrastive_hybrid_basic_finetune,2/3/4,251,35,0.48937617712921355,0.4784977498911237,0.5094402214327026,-0.08671794498857642
combat,CN_to_MCI,contrastive_rank_kendall_basic_finetune,2/3/4,251,35,0.48129174019862275,0.4631302820336161,0.514377427084194,-0.09455831887378056
