version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_dhat,delta_ci_lo,delta_ci_hi,delta_p
raw,CN_to_MCI,2,oracle_true_d_mod3,59,5,0.6518518518518519,0.4407407407407407,0.8481481481481481,-0.1374491122231107,-0.4325,0.19562556154537256,0.3700581978727674
raw,CN_to_MCI,2,rasper_kendall,59,5,0.3296296296296296,0.1681818181818182,0.5,-0.4598552334184203,-0.710691823899371,-0.1461212121212124,0.012040939193257074
raw,CN_to_MCI,3,ridge_d_hat,49,9,0.65,0.46794871794871795,0.8277777777777778,,,,
raw,CN_to_MCI,3,direct_logistic,49,9,0.34444444444444444,0.17378048780487804,0.5374149659863945,-0.3063351932594331,-0.6029545454545455,-0.006019955654101723,0.048409681936387276
raw,CN_to_MCI,3,oracle_true_d_mod3,49,9,0.5777777777777778,0.4136067193675889,0.7393135435992583,-0.07118751805166337,-0.30858517608517616,0.1702292594425203,0.5725145029005801
raw,CN_to_MCI,3,rasper_kendall,49,9,0.3472222222222222,0.17450524395804837,0.5335365853658537,-0.30401006856711404,-0.6,-0.005505050505050301,0.048409681936387276
raw,CN_to_MCI,4,ridge_d_hat,42,9,0.6498316498316499,0.45209558823529405,0.8215524615524616,,,,
raw,CN_to_MCI,4,direct_logistic,42,9,0.3872053872053872,0.22038482255072114,0.5621790540540541,-0.26376264954361056,-0.533091986794718,0.03441578079178905,0.08641728345669134
raw,CN_to_MCI,4,oracle_true_d_mod3,42,9,0.5858585858585859,0.41202342047930285,0.7551020408163265,-0.061754697230167535,-0.29605263157894735,0.18368097238895564,0.6177235447089418
raw,CN_to_MCI,4,rasper_kendall,42,9,0.3771043771043771,0.20661352040816325,0.5551470588235294,-0.27429769242637875,-0.5526315789473684,0.030350378787878933,0.07961592318463692
combat,MCI_to_AD,2,ridge_d_hat,65,14,0.7801120448179272,0.628909517613161,0.9082951770451769,,,,
combat,MCI_to_AD,2,direct_logistic,65,14,0.5588235294117647,0.3831321603927986,0.7236363636363636,-0.2215343872487153,-0.36540178571428567,-0.08823066962634118,0.0008
combat,MCI_to_AD,2,oracle_true_d_mod3,65,14,0.6624649859943977,0.49881688047559447,0.8108755641521599,-0.11812710099212247,-0.24533333333333318,0.005057575757575689,0.0616
combat,MCI_to_AD,2,rasper_kendall,65,14,0.5784313725490196,0.3934871794871795,0.7507180838437068,-0.20213053583748483,-0.34545454545454546,-0.07142857142857151,0.002
combat,MCI_to_AD,3,ridge_d_hat,51,19,0.8256578947368421,0.6952861952861953,0.9338461538461539,,,,
combat,MCI_to_AD,3,direct_logistic,51,19,0.700657894736842,0.5446153846153846,0.835719111969112,-0.1258503029654678,-0.2571536796536795,-0.006445602083750858,0.0432
combat,MCI_to_AD,3,oracle_true_d_mod3,51,19,0.6858552631578947,0.5235554558745348,0.8397741312741311,-0.14029239355762238,-0.2857142857142857,-0.008093149540517985,0.0384
