epoch,loss,loss_euclidean,loss_rank,loss_mode,tau,beta,rank_alpha,lambda_rank
34,20.217593644794665,20.28083610534668,-0.21080816890064039,hybrid,1.0,1.0,20.0,0.3
35,18.068951907910797,18.130517457660876,-0.2052189378361953,hybrid,1.0,1.0,20.0,0.3
36,15.454136999029862,15.5164559514899,-0.20772996936973773,hybrid,1.0,1.0,20.0,0.3
37,12.912466450741416,12.975318707917866,-0.20950795357164584,hybrid,1.0,1.0,20.0,0.3
38,10.875198414451198,10.938833136307565,-0.21211565854518036,hybrid,1.0,1.0,20.0,0.3
39,8.93806821421573,9.005110163437692,-0.22347309048238553,hybrid,1.0,1.0,20.0,0.3
40,7.29796512503373,7.3606769662154345,-0.20903947400419334,hybrid,1.0,1.0,20.0,0.3
41,6.055654425370066,6.1253986609609505,-0.2324807965441754,hybrid,1.0,1.0,20.0,0.3
42,5.298840874119809,5.370013789126747,-0.23724297787013807,hybrid,1.0,1.0,20.0,0.3
43,4.933002873470909,4.9979097466719775,-0.2163560915934412,hybrid,1.0,1.0,20.0,0.3
44,4.80810566952354,4.869582402078729,-0.20492249374326907,hybrid,1.0,1.0,20.0,0.3
45,4.769608296846089,4.839484515943025,-0.2329209815514715,hybrid,1.0,1.0,20.0,0.3
46,4.760510344254343,4.832512378692627,-0.240006748782961,hybrid,1.0,1.0,20.0,0.3
47,4.761701157218532,4.8303405109204745,-0.2287980110237473,hybrid,1.0,1.0,20.0,0.3
48,4.748048681961863,4.8270156759964795,-0.2632232745619197,hybrid,1.0,1.0,20.0,0.3
49,4.7473611329731185,4.825592793916401,-0.26077216471496384,hybrid,1.0,1.0,20.0,0.3
50,4.758105152531674,4.829931610508969,-0.2394213907812771,hybrid,1.0,1.0,20.0,0.3
51,4.745777506577341,4.824290953184429,-0.2617115362694389,hybrid,1.0,1.0,20.0,0.3
52,4.745007590243691,4.8252950718528345,-0.2676247573996845,hybrid,1.0,1.0,20.0,0.3
53,4.7385483039052865,4.82187368995265,-0.2777513747936801,hybrid,1.0,1.0,20.0,0.3
54,4.743056071432013,4.8230199060942,-0.2665460141081559,hybrid,1.0,1.0,20.0,0.3
55,4.743026382044742,4.822301212110017,-0.26424948008436905,hybrid,1.0,1.0,20.0,0.3
56,4.736104187212493,4.820904807040566,-0.28266881641588715,hybrid,1.0,1.0,20.0,0.3
57,4.743065156434712,4.822578982303017,-0.26504599420647873,hybrid,1.0,1.0,20.0,0.3
58,4.733908000745271,4.8199566790932105,-0.2868288794630452,hybrid,1.0,1.0,20.0,0.3
59,4.742671815972579,4.823350555018375,-0.2689290485884014,hybrid,1.0,1.0,20.0,0.3
60,4.738001045427825,4.823301817241468,-0.2843357057947862,hybrid,1.0,1.0,20.0,0.3
61,4.733485447733026,4.819482025347258,-0.2866551421190563,hybrid,1.0,1.0,20.0,0.3
62,4.726740510840165,4.81624026047556,-0.29833248414491353,hybrid,1.0,1.0,20.0,0.3
63,4.7292258363021045,4.817738056182861,-0.2950408607721329,hybrid,1.0,1.0,20.0,0.3
64,4.727910970386706,4.816948965976112,-0.29679319811494725,hybrid,1.0,1.0,20.0,0.3
