input_version,loss_mode,score_type,task,horizon_years,n_train,train_converters,n_test,test_converters,test_nonconverters,auc
combat,hybrid,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.758399209486166
combat,hybrid,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
combat,hybrid,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
combat,hybrid,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.7235955056179775
combat,hybrid,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.7325842696629213
combat,hybrid,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.6392156862745098
combat,hybrid,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.6522875816993464
combat,hybrid,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.6366013071895424
combat,hybrid,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.6522875816993464
raw,hybrid_basic,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8204545454545455
raw,hybrid_basic,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.8454545454545455
raw,hybrid_basic,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.725
raw,hybrid_basic,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.7050000000000001
raw,hybrid_basic,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.8099722991689751
raw,hybrid_basic,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.766759002770083
raw,hybrid_basic,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7761857707509882
raw,hybrid_basic,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7490118577075099
raw,hybrid_basic,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
raw,hybrid_basic,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
raw,hybrid_basic,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.6606741573033708
raw,hybrid_basic,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.6337078651685393
raw,hybrid_basic,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.5686274509803921
raw,hybrid_basic,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.5673202614379085
raw,hybrid_basic,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.5542483660130719
raw,hybrid_basic,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.5673202614379085
combat,hybrid_basic,setup3_probe,MCI_to_AD,1,450.0,6.0,114,4,110,0.8454545454545455
combat,hybrid_basic,setup3_s_direct,MCI_to_AD,1,,,114,4,110,0.8613636363636363
combat,hybrid_basic,setup3_probe,MCI_to_AD,2,450.0,29.0,114,14,100,0.7771428571428571
combat,hybrid_basic,setup3_s_direct,MCI_to_AD,2,,,114,14,100,0.7778571428571428
combat,hybrid_basic,setup3_probe,MCI_to_AD,3,450.0,58.0,114,19,95,0.8238227146814405
combat,hybrid_basic,setup3_s_direct,MCI_to_AD,3,,,114,19,95,0.8238227146814404
combat,hybrid_basic,setup3_probe,MCI_to_AD,4,450.0,64.0,114,22,92,0.7791501976284585
combat,hybrid_basic,setup3_s_direct,MCI_to_AD,4,,,114,22,92,0.7796442687747035
combat,hybrid_basic,setup3_probe,CN_to_MCI,1,390.0,2.0,94,0,94,
combat,hybrid_basic,setup3_s_direct,CN_to_MCI,1,,,94,0,94,
combat,hybrid_basic,setup3_probe,CN_to_MCI,2,390.0,14.0,94,5,89,0.6853932584269663
combat,hybrid_basic,setup3_s_direct,CN_to_MCI,2,,,94,5,89,0.698876404494382
combat,hybrid_basic,setup3_probe,CN_to_MCI,3,390.0,25.0,94,9,85,0.6209150326797386
combat,hybrid_basic,setup3_s_direct,CN_to_MCI,3,,,94,9,85,0.6222222222222222
combat,hybrid_basic,setup3_probe,CN_to_MCI,4,390.0,33.0,94,9,85,0.6339869281045751
combat,hybrid_basic,setup3_s_direct,CN_to_MCI,4,,,94,9,85,0.6222222222222222
