config,result_dir,input_version,setup,task,auc,ci_lo,ci_hi,test_converters
hybrid_a20_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l1p0_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.6606741573033708,0.40981273408239693,0.9124223602484471,5
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.7621428571428571,0.6194885172479512,0.881954862152882,14
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.7571428571428571,0.6138423457730389,0.8769233551209539,14
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.6651685393258427,0.46197842185903987,0.8915637351778656,5
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.6674157303370787,0.4559057971014493,0.901475155279503,5
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.7271428571428572,0.5636758314436886,0.8671607142857143,14
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7042857142857143,0.5375265908250092,0.8513208061002178,14
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.6314606741573033,0.33118357487922706,0.8914311594202898,5
hybrid_a4_l0.3,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l0p3_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.6471910112359551,0.3434928705002338,0.9050396825396825,5
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.7492857142857142,0.6192464836221337,0.8663525197628458,14
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.7485714285714286,0.6171329177897574,0.8653928571428572,14
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.6876404494382022,0.49694444444444447,0.8913043478260869,5
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.6831460674157304,0.47438082750582755,0.9010989010989011,5
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.7549999999999999,0.5898778223410577,0.8976506112149676,14
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7385714285714285,0.5644861606258665,0.8852553521408559,14
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.6426966292134831,0.37907615480649187,0.8983333333333331,5
hybrid_a4_l1,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a4_l1p0_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.6337078651685394,0.31157706093189963,0.9197979797979796,5
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.7092857142857143,0.5550288208544356,0.8450255102040816,14
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.6778571428571428,0.5013203019617313,0.8392941374663072,14
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.44044943820224725,0.1501831501831502,0.7923007246376811,5
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.5797752808988764,0.2391304347826087,0.9215538815117464,5
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.7278571428571429,0.552820938962028,0.8703789682539682,14
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7142857142857143,0.5400122549019608,0.8641647861067503,14
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.49887640449438203,0.3138888888888889,0.7166036821705427,5
rank_kendall_a10,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a10_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.6157303370786517,0.3706357048748353,0.875,5
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.6871428571428572,0.537125,0.8219258694043653,14
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.6014285714285714,0.4042611185983827,0.7855839646464646,14
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.45842696629213486,0.2197802197802198,0.7617977528089886,5
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.503370786516854,0.2271062271062271,0.8357919254658384,5
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.7121428571428572,0.5416568396226416,0.8637150497575266,14
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7107142857142857,0.5354047029702971,0.8619513305322128,14
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.4157303370786517,0.21574500768049157,0.6486413043478255,5
rank_kendall_a20,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a20_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.6292134831460674,0.4184782608695652,0.875,5
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,raw,setup3,mci_to_ad,0.7064285714285714,0.561905126633987,0.8336714432056413,14
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,raw,setup3-s,mci_to_ad,0.6785714285714286,0.5192779756651116,0.8188477938266718,14
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,raw,setup3,cn_to_mci,0.5011235955056179,0.23356884057971017,0.7992934782608695,5
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,raw,setup3-s,cn_to_mci,0.5662921348314607,0.28241360089186174,0.859099143610013,5
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,combat,setup3,mci_to_ad,0.7264285714285714,0.5588192873303167,0.8676554996998799,14
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,combat,setup3-s,mci_to_ad,0.7464285714285714,0.6013009648303765,0.8711553186794613,14
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,combat,setup3,cn_to_mci,0.6134831460674157,0.4189310237203495,0.8067683861082738,5
rank_kendall_a4,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_rank_kendall_a4_05152016_s60_c150_h384_l256,combat,setup3-s,cn_to_mci,0.6696629213483146,0.46176767676767677,0.8888888888888888,5
