run_set,stage,version,task,horizon_years,method,n,n_converters,auc,ci_lo,ci_hi,delta_vs_ridge_all,delta_p
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.3854545454545455,0.0467836257309941,0.8031557881773392,-0.3566832868179236,0.0414486921529175
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.6763636363636364,0.4181818181818182,0.9239766081871346,-0.0650269085235839,0.152112676056338
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.6727272727272727,0.3559322033898305,0.9642857142857144,-0.0686269782328088,0.3496981891348089
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.4654545454545455,0.1052631578947368,0.8398392857142855,-0.2765015009804987,0.09738430583501
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.5454545454545455,0.1673245614035088,0.861965055418719,-0.1969011983118859,0.1154929577464788
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.6654545454545454,0.3223944530046225,0.9396551724137931,-0.0759350352340355,0.3979879275653923
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.44,0.09375,0.7882727272727259,-0.3019442332763588,0.0438631790744466
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.5781818181818181,0.1293103448275862,0.9310344827586208,-0.1637656781881385,0.2189134808853118
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.7236363636363636,0.5172413793103448,0.9137931034482758,-0.0181371501964075,0.6301810865191146
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.4472727272727273,0.2188368055555555,0.6762651515151513,-0.2953423784146416,0.0004024144869215
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7418181818181817,0.5423978065802593,0.928763640873016,,
budget20_eff128,lora_regress_d,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7418181818181817,0.5423978065802593,0.928763640873016,0.0,2.0
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.4981818181818181,0.1607142857142857,0.8354239811912213,-0.2791268730642472,0.028169014084507
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.7563636363636363,0.5789473684210527,0.9177491685187806,-0.0217757142957363,0.6265593561368209
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.3963636363636363,0.0617283950617283,0.7601812865497075,-0.3825659571113622,0.007645875251509
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.4363636363636364,0.1345029239766082,0.8135593220338984,-0.340620869287371,0.0313883299798792
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.6909090909090909,0.4414944334215168,0.9017857142857144,-0.0873453934694882,0.0619718309859154
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.6836363636363637,0.4056449843260188,0.9005847953216375,-0.0941929739861657,0.0374245472837022
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.44,0.1724137931034483,0.7355557461406512,-0.3370335348778691,0.0100603621730382
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.5781818181818182,0.2446024130190797,0.8731830433717224,-0.1988137324779859,0.0668008048289738
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.6763636363636364,0.4219521943573667,0.8771929824561403,-0.1018290928169042,0.0841046277665996
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.4654545454545455,0.1034482758620689,0.8363397129186603,-0.3118231819197004,0.0229376257545271
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_regress_d_probe,60,5.0,0.6072727272727273,0.2586206896551724,0.8947368421052632,-0.1700359943060544,0.0816901408450704
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,contrastive_regress_d_s,60,5.0,0.6690909090909092,0.3351331588669951,0.9064327485380116,-0.1090962312307116,0.0993963782696177
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,direct_logistic,60,5.0,0.3636363636363636,0.1563636363636363,0.576271186440678,-0.4144793575804639,0.0152917505030181
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,ridge_dhat_all,60,5.0,0.7781818181818182,0.5734247740563531,0.9419642857142856,,
old_full_20eff128_reference,full_euclidean,raw,CN_to_MCI,2.0,ridge_dhat_finetune,60,5.0,0.7781818181818182,0.5734247740563531,0.9419642857142856,0.0,2.0
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_euclidean_finetune,60,5.0,0.5345454545454545,0.2122166666666667,0.8070175438596492,-0.3490548395750594,0.0064386317907444
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_euclidean_probe,60,5.0,0.76,0.5758928571428571,0.9285714285714286,-0.1239723963129984,0.0515090543259557
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_euclidean_s,60,5.0,0.2690909090909091,0.0714285714285714,0.4912280701754385,-0.6153151291945285,0.0004024144869215
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_finetune,60,5.0,0.5236363636363637,0.1871345029239766,0.8448275862068966,-0.359794964156937,0.0515090543259557
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_probe,60,5.0,0.8290909090909091,0.7008928571428571,0.9463727678571427,-0.0546413127860199,0.3505030181086519
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_hybrid_basic_s,60,5.0,0.8327272727272728,0.7092891483516484,0.9469608516483512,-0.0508604335806517,0.406841046277666
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_finetune,60,5.0,0.6254545454545455,0.3508771929824561,0.8924188311688304,-0.2569689272984075,0.0651911468812877
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_probe,60,5.0,0.7163636363636364,0.4861366071428571,0.9239766081871346,-0.1673771661676091,0.0977867203219315
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_rank_kendall_basic_s,60,5.0,0.8800000000000001,0.7586206896551724,0.9827586206896552,-0.0035647844655821,1.0012072434607646
old_full_20eff128_reference,full_hybrid_basic,raw,CN_to_MCI,2.0,contrastive_regress_d_finetune,60,5.0,0.5854545454545454,0.2857142857142857,0.8659421992481201,-0.2972990978275919,0.0567404426559356
