run_set,stage,method,CN_to_MCI_y2,CN_to_MCI_y3,CN_to_MCI_y4,MCI_to_AD_y2,MCI_to_AD_y3,MCI_to_AD_y4
budget20_eff128,frozen_feature,contrastive_regress_d_probe,0.5672727272727273,0.5083333333333333,0.4040404040404041,0.6442577030812324,0.7730263157894737,0.7292490118577076
budget20_eff128,frozen_feature,contrastive_regress_d_s,0.6799999999999999,0.6333333333333333,0.6262626262626263,0.561624649859944,0.6644736842105263,0.642292490118577
budget20_eff128,frozen_feature,direct_logistic,0.3636363636363636,0.4861111111111111,0.4242424242424242,0.6652661064425771,0.7648026315789473,0.6561264822134387
budget20_eff128,frozen_feature,ridge_dhat_all,0.7781818181818182,0.65,0.6498316498316499,0.7549019607843137,0.8157894736842105,0.7628458498023716
budget20_eff128,frozen_feature,ridge_dhat_finetune,0.7781818181818182,0.65,0.6498316498316499,0.7549019607843137,0.8157894736842105,0.7628458498023716
budget20_eff128,lora_euclidean,contrastive_euclidean_finetune,0.3818181818181818,0.375,0.3703703703703703,0.6988795518207283,0.7713815789473684,0.699604743083004
budget20_eff128,lora_euclidean,contrastive_euclidean_probe,0.6654545454545455,0.5972222222222222,0.5589225589225589,0.7170868347338936,0.7828947368421052,0.7727272727272727
budget20_eff128,lora_euclidean,contrastive_euclidean_s,0.5709090909090909,0.5472222222222223,0.5353535353535354,0.4425770308123249,0.5032894736842104,0.4822134387351778
budget20_eff128,lora_euclidean,contrastive_hybrid_basic_finetune,0.4509090909090909,0.3888888888888888,0.4006734006734007,0.6862745098039216,0.7516447368421053,0.699604743083004
budget20_eff128,lora_euclidean,contrastive_hybrid_basic_probe,0.7236363636363636,0.6472222222222221,0.6262626262626263,0.726890756302521,0.8009868421052632,0.7391304347826086
budget20_eff128,lora_euclidean,contrastive_hybrid_basic_s,0.7272727272727273,0.6499999999999999,0.6296296296296295,0.726890756302521,0.7960526315789473,0.7332015810276681
budget20_eff128,lora_euclidean,contrastive_rank_kendall_basic_finetune,0.44,0.4555555555555555,0.4006734006734006,0.6862745098039216,0.7351973684210527,0.7154150197628459
budget20_eff128,lora_euclidean,contrastive_rank_kendall_basic_probe,0.530909090909091,0.5194444444444444,0.4208754208754208,0.7324929971988795,0.8125,0.7747035573122529
budget20_eff128,lora_euclidean,contrastive_rank_kendall_basic_s,0.6436363636363637,0.5944444444444444,0.5723905723905724,0.7170868347338936,0.7976973684210527,0.7549407114624507
budget20_eff128,lora_euclidean,contrastive_regress_d_finetune,0.5345454545454545,0.5361111111111111,0.3905723905723905,0.6722689075630253,0.756578947368421,0.6976284584980237
