run_set,stage,method,CN_MCI_AD,CN_vs_AD,CN_vs_MCI,MCI_vs_AD
budget20_eff128,lora_hybrid_basic,ridge_dhat_all,,0.7813333333333333,0.5454054054054054,0.7303732303732304
budget20_eff128,lora_hybrid_basic,ridge_dhat_finetune,,0.7813333333333333,0.5454054054054054,0.7303732303732304
budget20_eff128,lora_regress_d,baseline_raw,0.6622026990840694,0.8548627450980392,0.5823629343629344,0.7407449466272995
budget20_eff128,lora_regress_d,contrastive_euclidean_probe,0.6175933133763535,0.789607843137255,0.5703011583011584,0.702059202059202
budget20_eff128,lora_regress_d,contrastive_euclidean_s,,0.2857647058823528,0.4456679536679537,0.3593761829055946
budget20_eff128,lora_regress_d,contrastive_hybrid_basic_probe,0.6336826068285247,0.8060392156862746,0.5783629343629344,0.7161783632371868
budget20_eff128,lora_regress_d,contrastive_hybrid_basic_s,,0.8043921568627451,0.5820231660231661,0.7187902187902188
budget20_eff128,lora_regress_d,contrastive_rank_kendall_basic_probe,0.6342344104040686,0.785843137254902,0.5782857142857143,0.7105382693617989
budget20_eff128,lora_regress_d,contrastive_rank_kendall_basic_s,,0.7821960784313725,0.574069498069498,0.7165568930274814
budget20_eff128,lora_regress_d,contrastive_regress_d_probe,0.6242051598528175,0.7892156862745098,0.5695289575289575,0.7063744416685592
budget20_eff128,lora_regress_d,contrastive_regress_d_s,,0.7917254901960784,0.5892355212355213,0.7002044060867589
budget20_eff128,lora_regress_d,ridge_dhat_all,,0.818078431372549,0.6000463320463321,0.7268150503444621
budget20_eff128,lora_regress_d,ridge_dhat_finetune,,0.818078431372549,0.6000463320463321,0.7268150503444621
old_full_20eff128_reference,full_euclidean,baseline_raw,0.6604339310128042,0.8594901960784314,0.5768494208494209,0.7617533499886442
old_full_20eff128_reference,full_euclidean,contrastive_euclidean_probe,0.6281066916655772,0.7820784313725491,0.5835521235521235,0.6957756075403133
old_full_20eff128_reference,full_euclidean,contrastive_euclidean_s,,0.4583137254901961,0.4319536679536679,0.5246044363691422
old_full_20eff128_reference,full_euclidean,contrastive_hybrid_basic_probe,0.618827369269109,0.7712549019607843,0.5710579150579151,0.7039518510106746
old_full_20eff128_reference,full_euclidean,contrastive_hybrid_basic_s,,0.7678039215686274,0.5694517374517374,0.7008668332197744
old_full_20eff128_reference,full_euclidean,contrastive_rank_kendall_basic_probe,0.6562280571159104,0.8068235294117647,0.5919227799227799,0.7603527897645544
old_full_20eff128_reference,full_euclidean,contrastive_rank_kendall_basic_s,,0.7248627450980392,0.5594903474903475,0.6638276932394579
old_full_20eff128_reference,full_euclidean,contrastive_regress_d_probe,0.6548470085351216,0.8040784313725491,0.5941003861003861,0.737413884472708
old_full_20eff128_reference,full_euclidean,contrastive_regress_d_s,,0.7819607843137256,0.5929111969111969,0.6997501703384056
old_full_20eff128_reference,full_euclidean,ridge_dhat_all,,0.8257647058823531,0.5992123552123552,0.7447952153834506
old_full_20eff128_reference,full_euclidean,ridge_dhat_finetune,,0.8257647058823531,0.5992123552123552,0.7447952153834506
old_full_20eff128_reference,full_hybrid_basic,baseline_raw,0.6201965471813914,0.7763529411764706,0.5479227799227799,0.7232568703156939
old_full_20eff128_reference,full_hybrid_basic,contrastive_euclidean_probe,0.5936447604285895,0.7278627450980393,0.5522934362934364,0.663411310470134
old_full_20eff128_reference,full_hybrid_basic,contrastive_euclidean_s,,0.2854705882352941,0.4556602316602317,0.3444999621470209
old_full_20eff128_reference,full_hybrid_basic,contrastive_hybrid_basic_probe,0.6066685477116404,0.7566274509803922,0.5431042471042471,0.7095162389280038
old_full_20eff128_reference,full_hybrid_basic,contrastive_hybrid_basic_s,,0.753607843137255,0.5388880308880309,0.7090998561586797
old_full_20eff128_reference,full_hybrid_basic,contrastive_rank_kendall_basic_probe,0.6087150699808349,0.7521960784313726,0.5468880308880308,0.7000529941706413
old_full_20eff128_reference,full_hybrid_basic,contrastive_rank_kendall_basic_s,,0.7352156862745098,0.5469961389961391,0.6811643576349458
old_full_20eff128_reference,full_hybrid_basic,contrastive_regress_d_probe,0.5990518314097937,0.7394509803921568,0.5454517374517375,0.6740858505564389
old_full_20eff128_reference,full_hybrid_basic,contrastive_regress_d_s,,0.7147843137254902,0.5504401544401545,0.6646604587781058
old_full_20eff128_reference,full_hybrid_basic,ridge_dhat_all,,0.7635294117647058,0.5588262548262548,0.7006586418351124
old_full_20eff128_reference,full_hybrid_basic,ridge_dhat_finetune,,0.7635294117647058,0.5588262548262548,0.7006586418351124
old_full_20eff128_reference,full_regress_d,baseline_raw,0.6886152849602273,0.866313725490196,0.6148880308880309,0.7704595351654175
old_full_20eff128_reference,full_regress_d,contrastive_euclidean_probe,0.6731323374838989,0.8664705882352941,0.6155675675675676,0.7674691498220909
old_full_20eff128_reference,full_regress_d,contrastive_euclidean_s,,0.7043137254901961,0.5771274131274131,0.6355515179044591
old_full_20eff128_reference,full_regress_d,contrastive_hybrid_basic_probe,0.6767195623278793,0.8749019607843137,0.6201235521235522,0.7706109470815353
old_full_20eff128_reference,full_regress_d,contrastive_hybrid_basic_s,,0.8310980392156864,0.6123552123552124,0.7314709667650844
old_full_20eff128_reference,full_regress_d,contrastive_rank_kendall_basic_probe,0.6799236629719122,0.8693333333333333,0.6253745173745174,0.7525550760844878
old_full_20eff128_reference,full_regress_d,contrastive_rank_kendall_basic_s,,0.8718823529411767,0.622949806949807,0.7623589976531153
old_full_20eff128_reference,full_regress_d,contrastive_regress_d_probe,0.669943867692127,0.8696862745098038,0.6114594594594595,0.7606177606177607
old_full_20eff128_reference,full_regress_d,contrastive_regress_d_s,,0.8681960784313725,0.6147181467181466,0.7541070482246953
old_full_20eff128_reference,full_regress_d,ridge_dhat_all,,0.8528235294117648,0.6113822393822393,0.7403285638579756
old_full_20eff128_reference,full_regress_d,ridge_dhat_finetune,,0.8528235294117648,0.6113822393822393,0.7403285638579756
