version,task_kind,task,n,n_positive,method,auc,ci_lo,ci_hi,run_set
raw,conversion,MCI_to_AD_4y,45,22,image+dtrue,0.7035573122529645,0.5425101214574899,0.8502024291497976,no_epoch_baseline
raw,conversion,MCI_to_AD_4y,45,22,dtrue_only,0.6640316205533597,0.4859547430830039,0.816,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5,image_only,0.3636363636363636,0.1563636363636363,0.576271186440678,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5,image+dhat,0.4763636363636364,0.2109090909090908,0.7497954545454542,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5,dhat_only,0.7781818181818182,0.5734247740563531,0.9419642857142856,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5,image+dtrue,0.5127272727272728,0.2616558101227912,0.7288135593220338,no_epoch_baseline
raw,conversion,CN_to_MCI_2y,60,5,dtrue_only,0.6436363636363637,0.4295282131661442,0.8566468253968246,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9,image_only,0.4861111111111111,0.3048780487804878,0.6743619558735838,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9,image+dhat,0.5555555555555556,0.3707509881422924,0.7364341085271318,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9,dhat_only,0.65,0.4679487179487179,0.8277777777777778,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9,image+dtrue,0.5972222222222222,0.404245947850599,0.7860397897897897,no_epoch_baseline
raw,conversion,CN_to_MCI_3y,49,9,dtrue_only,0.5777777777777778,0.4136067193675889,0.7393135435992583,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9,image_only,0.4242424242424242,0.2244897959183673,0.6263008463008465,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9,image+dhat,0.4983164983164983,0.3051470588235294,0.6874999999999999,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9,dhat_only,0.6498316498316499,0.452095588235294,0.8215524615524616,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9,image+dtrue,0.5622895622895623,0.368733552631579,0.746938775510204,no_epoch_baseline
raw,conversion,CN_to_MCI_4y,42,9,dtrue_only,0.5858585858585859,0.4120234204793028,0.7551020408163265,no_epoch_baseline
