input_version,setup,cn_ad_auc,cn_mci_cls_auc,mci_ad_cls_auc,3class_acc,3class_macro_auc,mci_conv_auc,cn_mci_conv_auc,r2_d_mod3,pearson_d_mod3,spearman_d_mod3,alignment_spearman,loss_mode,tau,beta,rank_alpha,lambda_rank,final_soft_tau,z_std_train,z_std_test,z_dim_std_mean,z_dim_std_max,z_active_dims_005,z_active_dims_010,z_active_dims_050,centroid_alignment_spearman,pca_plot,pairwise_plot,tsne_plot,result_dir,config
raw,setup3,0.7927058823529413,0.5722934362934363,0.7390794155500038,0.469721767594108,0.6334662678580828,0.7535714285714286,0.6764044943820224,0.1055860733674267,0.4333376460952062,0.4123920663755293,0.1603433692144474,hybrid,1.0,1.0,10.0,1.0,1.0,0.0261751860380172,0.0273108966648578,0.0148722995072603,0.136486530303955,12.0,3.0,0.0,0.0817067467162873,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_raw.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_raw.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_raw.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,hybrid_a10_l1
raw,setup3-s,,,,,,0.7521428571428571,0.6449438202247191,,0.4311030729583808,0.4091336848656449,,hybrid,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,hybrid_a10_l1
raw,setup4,0.8289411764705882,0.5962007722007722,0.7837837837837839,0.5090016366612111,0.6702019308239661,0.6707142857142857,0.4561797752808989,0.1268491744519753,0.4470548740570788,0.4110479629591634,0.1079712512490367,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,nan
combat,setup1,0.8472941176470589,0.578980694980695,0.7606934665758196,0.4615384615384615,0.6613535627370241,0.6842857142857142,0.2898876404494382,0.1476024332269031,0.4450355542121561,0.4376833484057679,0.0356278904014618,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,nan
combat,setup2,0.7192941176470589,0.5663166023166024,0.7090241502006207,0.4877250409165303,0.6409486541178023,0.5985714285714285,0.2022471910112359,0.0384620274676543,0.3364881530149269,0.3309324234107262,0.0912718430243881,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,nan
combat,setup3,0.8321568627450979,0.6090656370656371,0.7507381330910742,0.4893617021276595,0.6599450187647943,0.7542857142857142,0.696629213483146,0.1058818113260224,0.4405350793872847,0.4232753636454984,0.1633848877683283,hybrid,1.0,1.0,10.0,1.0,1.0,0.0271812155842781,0.0264536403119564,0.0138163529336452,0.154826283454895,16.0,3.0,0.0,0.1532605121681631,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pca_d_mod3_combat.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_pairwise_distance_combat.png,results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256/setup3_tsne_d_mod3_combat.png,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,hybrid_a10_l1
combat,setup3-s,,,,,,0.7357142857142857,0.6584269662921348,,0.4008195273877593,0.3852791504302614,,hybrid,1.0,1.0,10.0,1.0,1.0,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,hybrid_a10_l1
combat,setup4,0.8308627450980391,0.5844787644787645,0.7484669543493072,0.5253682487725041,0.7011568575739112,0.667142857142857,0.2404494382022472,0.1644303914988725,0.4346804172894172,0.4173071004581704,0.0959887219196325,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a10_l1p0_05152016_s60_c150_h384_l256,nan
raw,setup1,0.859529411764706,0.5766177606177607,0.7621318797789386,0.4517184942716857,0.657122449587882,0.6435714285714286,0.3168539325842697,0.2370208374243633,0.5123545020823749,0.4667079120022348,0.0453486034165119,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,nan
raw,setup2,0.7515294117647059,0.5618378378378378,0.6928987811340752,0.4599018003273322,0.6100324148600236,0.6264285714285713,0.2404494382022471,0.0566773786006109,0.3766981130296147,0.338407067915162,0.0995213357389061,,,,,,,,,,,,,,,,,,/dcs07/zwang/data/adni_d/d_contrastive/results_rank_hybrid_a20_l0p3_05152016_s60_c150_h384_l256,nan
