method,input_version,task,horizon_years,n,n_converters,n_nonconverters,auc,ci_lo,ci_hi,delta_vs_direct,delta_ci_lo,delta_ci_hi,delta_p,r2_days,pearson_score_neg_days,spearman_score_neg_days
euclidean_contrastive_z_setup3,combat,CN_to_MCI_2y,2,59,5,54,0.6666666666666667,0.4182132647226987,0.8947368421052632,0.3928397542013317,0.1052631578947368,0.6892337164750956,0.0060204695966285,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_3y,3,49,9,40,0.4055555555555555,0.2256410256410256,0.5945121951219512,,,,,,,
ridge_d_hat,combat,CN_to_MCI_3y,3,49,9,40,0.7194444444444444,0.5476190476190477,0.8743910256410258,0.3145418087594727,0.0502272727272726,0.5797101449275363,0.0212042408481696,,,
oracle_true_d_mod3,combat,CN_to_MCI_3y,3,49,9,40,0.5777777777777778,0.4136067193675889,0.7393135435992583,0.1741708576519214,-0.0542714760322733,0.3945578231292517,0.1360272054410882,,,
euclidean_contrastive_z_setup3,combat,CN_to_MCI_3y,3,49,9,40,0.5722222222222222,0.3794871794871795,0.7561131957473421,0.1649588546924458,-0.1360544217687075,0.4722474747474749,0.2844568913782757,,,
direct_logistic_sparse_labels,combat,CN_to_MCI_4y,4,42,9,33,0.4478114478114477,0.2440177387267904,0.6532414232414234,,,,,,,
ridge_d_hat,combat,CN_to_MCI_4y,4,42,9,33,0.6936026936026936,0.5026696083838941,0.8545972876330019,0.2485632963849891,-0.0394736842105263,0.525735294117647,0.0944188837767553,,,
oracle_true_d_mod3,combat,CN_to_MCI_4y,4,42,9,33,0.5858585858585859,0.4120234204793028,0.7551020408163265,0.1433959129782797,-0.1306122448979592,0.4000336700336702,0.3052610522104421,,,
euclidean_contrastive_z_setup3,combat,CN_to_MCI_4y,4,42,9,33,0.5622895622895623,0.3632142857142857,0.7591836734693876,0.1175610995597681,-0.1618153797033106,0.4191176470588235,0.4352870574114822,,,
ridge_d_hat,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.0302978585848956,0.0175571535811255,0.0175042348955392
euclidean_contrastive_z_setup3,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.0443664641245657,0.0105884420022893,0.1225296442687747
direct_768_ridge_time,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-0.964715236919073,0.000672141381684,0.0446075663466967
oracle_true_d_mod3,combat,MCI_time_to_AD_4y_converters,4,22,22,0,,,,,,,,-4.019868159245994,0.0050889812413116,0.1157538114059853
